Date,Open,Max,Min,Close
2024-08-20,"22,464.07","22,545.89","22,369.25","22,429.10"
2024-08-21,"22,316.78","22,358.88","22,165.82","22,237.89"
2024-08-22,"22,254.59","22,315.92","22,096.26","22,148.83"
2024-08-23,"22,042.59","22,159.27","21,935.98","22,158.05"
2024-08-26,"22,250.49","22,449.45","22,164.53","22,240.12"
2024-08-27,"22,179.21","22,205.11","22,059.51","22,185.00"
2024-08-28,"22,210.57","22,370.66","22,108.86","22,370.66"
2024-08-29,"22,136.31","22,273.62","22,010.89","22,201.85"
2024-08-30,"22,230.07","22,342.25","22,230.07","22,268.09"
2024-06-03,"21,388.71","21,612.54","21,372.08","21,536.76"
2024-06-04,"21,513.85","21,529.98","21,308.97","21,356.62"
2024-06-05,"21,385.00","21,510.86","21,264.63","21,484.88"
2024-06-06,"21,856.13","21,970.63","21,847.68","21,902.70"
2024-06-07,"21,823.62","21,920.85","21,823.62","21,858.38"
2024-06-11,"21,984.42","22,003.71","21,792.12","21,792.12"
2024-06-12,"21,841.81","22,094.94","21,841.81","22,048.96"
2024-06-13,"22,217.64","22,440.10","22,211.08","22,312.04"
2024-06-14,"22,311.93","22,504.72","22,252.02","22,504.72"
2024-06-17,"22,468.11","22,567.34","22,431.26","22,496.53"
2024-06-18,"22,690.34","22,787.67","22,642.94","22,757.43"
2024-06-19,"22,858.45","23,275.30","22,858.45","23,209.54"
2024-06-20,"23,196.69","23,406.10","23,180.70","23,406.10"
2024-06-21,"23,193.90","23,351.17","23,151.15","23,253.39"
2024-06-24,"23,124.31","23,131.68","22,813.70","22,813.70"
2024-06-25,"22,695.15","22,875.97","22,503.00","22,875.97"
2024-06-26,"22,938.57","23,074.74","22,893.75","22,986.69"
2024-06-27,"22,859.93","22,922.56","22,765.16","22,905.98"
2024-06-28,"22,896.72","23,142.40","22,896.72","23,032.25"
